V Mag. (mV),Proper name,Bayer designation,Brightest Stars Distance (ly),Spectral class,Brown dwarf,Constellation,Declination,Brown Dwarf Distance (ly),Spectral Type,Mass (MJ),Radius (RJ),Discovery Year,gravity
1.94,Peacock,α Pav,0180,B3,2MASSI J0859254-194926[de],Pyxis,−19° 49′ 26.8″,50.0,L6,9.49337766e+28,70062374.71799994,2003.0,1290.7354962813108
1.96,Alsephina[2],δ Vel,0080,A1,2MASSI J0937347+293142,Leo,29° 31′ 40.9″,20.0,T6p,7.9744372344e+28,67202685.95399994,2002.0,1178.4549471797188
1.98,Mirzam,β CMa,0500,B1,2MASS 0939−2448,Antlia,−24° 48′ 27.9″,17.4,T8,6.0757617024000005e+28,67917608.14499994,2005.0,879.0673874817564
1.98,Polaris,α UMi,0430,F8,2MASS J09490860-1545485[de],Hydra,−15° 45′ 48.5″,59.0,T2,9.3035101068e+28,68632530.33599994,2005.0,1318.1748298784714
2.00,Alphard,α Hya,0180,K3,2MASS J10073369-4555147,,−45° 55′ 14.7″,46.0,T5,8.3541723408e+28,67202685.95399994,,1234.571849426372
2.23,Mintaka,δ Ori,01200,O9.5,2MASSI J1010148-040649[de],Sextans,−4° 6′ 49.9″,55.0,L6,9.6832452132e+28,70062374.71799994,2003.0,1316.5502062069368
2.42,Scheat,β Peg,0196,M2.5,2MASS J10224821+5825453[de],Ursa Major,58° 25′ 45.3″,60.0,L1β,5.1264239364e+28,100804028.93099993,2008.0,336.7014134799194
2.98,Almaaz,ε Aur,0653,F0,2MASSW J1036530-344138[de],Antlia,−34° 41′ 38″,53.0,L6,9.3035101068e+28,69347452.52699994,2002.0,1291.136064635986
3.35,Rasalgethi,α Her,0360,M5,2MASS J1047538+212423[de],Leo,21° 24′ 23.4″,34.4,T6.5,7.9744372344e+28,67202685.95399994,1999.0,1178.4549471797188
3.50,Tau Ceti,τ Cet,011.9,G8,Luhman 16B,Vela,−53° 19′ 10″,6.516,T1,8.164304787600002e+28,72922063.482,2013.0,1024.6782379282672
3.56,Delta Pavonis,δ Pav,019.92,G8,Luhman 16A,Vela,−53° 19′ 10″,6.516,L8,7.594702128e+28,72207141.291,2013.0,972.157530146902
3.74,Ran,ε Eri,010.48,K2,DENIS-P J1058.7−1548,Crater,−15° 48′ 17.2″,49.0,L3,1.2151523404800001e+29,71492219.1,1997.0,1586.716634404568
3.83,V382 Carinae,Car,8900.0,G2,TWA 28,,−34° 30′ 35.5″,180.0,M8.5γ,6.8352319152000005e+28,170866403.649,,156.25218516002334
4,Eta Carinae,η Car,7500.0,O,Cha 110913-773444,Chamaeleon,–77° 34′ 45″,163.0,L,1.5189404256000001e+28,128685994.37999992,2005.0,61.215919537213324
4.07,Delta Cephei,δ Cep,0887,F5,SDSS J111010.01+011613.1,,1° 16′ 13″,63.0,T5.5p,1.7088079788000001e+28,88650351.684,,145.1170829299833
4.08,Mu Cephei,μ Cep,6000.0,M2,2MASS J11145133−2618235,Hydra,−26° 18′ 23.5″,18.2,T7.5,6.2656292556e+28,68632530.33599994,2005.0,887.7503956324399
4.09,Titawin,υ And,044.25,F8,TWA 26,,−31° 59′ 21.5″,137.0,M9γ,5.6960265960000004e+28,157282882.01999998,,153.67219470602092
4.1,Rho Cassiopeiae,ρ Cas,8154.0,G2,2MASS J11544223-3400390[de],Hydra,−34° 0′ 39″,129.0,L0β,7.0250994684000005e+28,107238328.64999998,2003.0,407.6980241178405
4.82,P Cygni,P Cyg,5545.0,B1,2MASSW J1155395-372735[de],Centaurus,−37° 27′ 35″,31.0,L2,1.2151523404800001e+29,71492219.1,2002.0,1586.716634404568
4.86,La Superba,CVn,1000.0,C5,2MASSI J1217110-031113[de],Virgo,−3° 11′ 13.1″,36.0,T7.5,7.9744372344e+28,67202685.95399994,1999.0,1178.4549471797188
4.91,VV Cephei,Cep,4900.0,M2,2M 1237+6526,Draco,65° 26′ 14.8″,45.6,T6.5,7.784569681200001e+28,67202685.95399994,2003.0,1150.3964960563922
5.20,61 Cygni,Cyg,011.41,K5,SDSSp J125453.90-012247.4[de],Virgo,−1° 22′ 47.4″,38.0,T2,8.9237750004e+28,70062374.71799994,2000.0,1213.291366504432
